Date,Open,High,Low,Close,Adj Close,Volume,stock
2012-05-22,63.400002,63.799999,63.330002,63.52,45.682671,8409300,JNJ
2012-05-23,63.400002,63.75,62.880001,63.27,45.502876,11269100,JNJ
2012-05-24,62.889999,63.34,62.799999,63.099998,45.822399,9309400,JNJ
2012-05-25,62.880001,62.98,62.290001,62.509998,45.393955,11208500,JNJ
2012-05-29,62.84,62.93,62.299999,62.59,45.452053,10089700,JNJ
2012-05-30,62.34,62.400002,62.0,62.209999,45.176086,9414700,JNJ
2012-05-31,62.360001,62.880001,62.139999,62.43,45.33585,13297100,JNJ
2012-06-01,62.040001,62.310001,61.709999,61.779999,44.863838,12061100,JNJ
2012-06-04,62.040001,62.450001,61.889999,62.34,45.270489,9200000,JNJ
2012-06-05,62.16,62.380001,62.0,62.209999,45.176086,9523400,JNJ
2012-06-06,62.09,62.799999,61.889999,62.799999,45.604546,11562500,JNJ
2012-06-07,63.18,63.200001,62.509998,62.799999,45.604546,12959300,JNJ
2012-06-08,62.540001,63.040001,62.330002,62.98,45.735264,11249500,JNJ
2012-06-11,62.970001,63.029999,62.110001,62.119999,45.110737,12226400,JNJ
2012-06-12,62.16,63.27,61.830002,63.080002,45.807884,26655400,JNJ
2012-06-13,64.239998,64.699997,63.18,64.449997,46.80275,98440200,JNJ
2012-06-14,64.349998,65.75,64.290001,65.449997,47.528938,34314900,JNJ
2012-06-15,65.900002,66.099998,65.510002,66.010002,47.9356,25992800,JNJ
2012-06-18,65.82,66.389999,65.82,66.300003,48.146194,25750000,JNJ
2012-06-19,66.400002,66.959999,66.360001,66.720001,48.451199,23615400,JNJ
2012-06-20,66.779999,67.0,66.459999,67.0,48.654526,21254600,JNJ
2012-06-21,66.550003,66.970001,66.160004,66.389999,48.211552,24545300,JNJ
2012-06-22,66.660004,66.970001,66.519997,66.629997,48.385826,18965700,JNJ
2012-06-25,66.260002,66.629997,66.139999,66.5,48.291428,13734500,JNJ
2012-06-26,66.559998,66.690002,66.410004,66.419998,48.233337,11100000,JNJ
2012-06-27,66.419998,67.199997,66.360001,66.839996,48.538338,17594200,JNJ
